id,nama,age,gender,location_user,location_pembelian,harga_beli,kind_of_food,restaurant,delivery_time,friends,jumlah_klik_produk_tertentu
1,User1,39,Male,Bandung,Bandung,66.03,Beverage,Sonic Drive-In,38,313,1
2,User2,40,Male,Surabaya,Surabaya,44.25,Healthy,Sonic Drive-In,39,483,2
3,User3,24,Female,Surabaya,Jakarta,8.88,Dessert,Popeyes,27,172,17
4,User4,37,Male,Surabaya,Jakarta,86.2,Beverage,Jack in the Box,50,17,17
5,User5,61,Male,Jakarta,Jakarta,18.64,Beverage,Popeyes,35,431,5
6,User6,24,Female,Bandung,Jakarta,46.74,Healthy,Chick-fil-A,23,226,19
7,User7,50,Male,Surabaya,Bandung,28.33,Fast Food,Taco Bell,20,408,12
8,User8,55,Female,Bandung,Jakarta,43.12,Dessert,Pizza Hut,55,423,17
9,User9,40,Female,Surabaya,Bandung,19.95,Fast Food,Burger King,41,29,5
10,User10,59,Male,Surabaya,Surabaya,64.85,Fast Food,Panera Bread,36,115,9
11,User11,39,Female,Surabaya,Jakarta,95.92,Dessert,Starbucks,27,412,6
12,User12,29,Male,Jakarta,Bandung,29.93,Beverage,Arby's,19,495,6
13,User13,61,Female,Jakarta,Jakarta,78.97,Healthy,Chipotle,16,140,3
14,User14,21,Male,Bandung,Jakarta,6.33,Healthy,Panda Express,42,19,18
15,User15,50,Male,Bandung,Jakarta,97.54,Dessert,Burger King,26,248,11
16,User16,47,Female,Jakarta,Jakarta,91.46,Fast Food,Pizza Hut,18,0,2
17,User17,39,Female,Jakarta,Surabaya,98.54,Fast Food,KFC,43,443,2
18,User18,35,Female,Bandung,Jakarta,38.21,Fast Food,Panda Express,59,201,15
19,User19,23,Male,Bandung,Bandung,77.81,Beverage,Chick-fil-A,27,367,6
20,User20,65,Male,Jakarta,Jakarta,11.07,Beverage,Five Guys,41,110,11
21,User21,45,Female,Surabaya,Bandung,56.53,Beverage,Jack in the Box,44,204,6
22,User22,19,Female,Bandung,Jakarta,5.68,Fast Food,Panera Bread,49,405,13
23,User23,51,Female,Surabaya,Bandung,51.26,Healthy,Sonic Drive-In,53,53,9
24,User24,58,Male,Surabaya,Jakarta,97.85,Healthy,Chick-fil-A,19,27,7
25,User25,61,Female,Bandung,Jakarta,12.69,Dessert,Five Guys,38,28,11
26,User26,57,Female,Surabaya,Jakarta,25.51,Beverage,Taco Bell,35,313,3
27,User27,61,Male,Surabaya,Bandung,69.29,Beverage,Arby's,16,354,8
28,User28,69,Female,Jakarta,Bandung,44.12,Beverage,Five Guys,48,445,16
