id,nama,age,gender,harga_beli,kind_of_food,restaurant,friends,jumlah_klik_produk_tertentu,review,lokasi_resto
1,User1,39,Male,66.03,Beverage,JCo,313,1,"Excellent taste, worth every penny!",Jogja
2,User2,40,Male,44.25,Healthy,Burger King,483,2,"Excellent taste, worth every penny!",Jakarta
3,User3,24,Female,8.88,Dessert,Burger King,172,17,The food was bland and tasteless.,Malang
4,User4,37,Male,86.2,Beverage,Starbucks,17,17,The food was bland and tasteless.,Bandung
5,User5,61,Male,18.64,Beverage,McDonald's,431,5,Very tasty and well-prepared.,Malang
6,User6,24,Female,46.74,Healthy,JCo,226,19,"Poor quality, not worth the money.",Surabaya
7,User7,50,Male,28.33,Fast Food,Burger King,408,12,"Excellent taste, worth every penny!",Surabaya
8,User8,55,Female,43.12,Dessert,KFC,423,17,The food was delicious and fresh!,Malang
9,User9,40,Female,19.95,Fast Food,KFC,29,5,"Terrible experience, food was awful.",Jogja
10,User10,59,Male,64.85,Fast Food,Starbucks,115,9,"Unimpressed with the taste, won't return.",Malang
11,User11,39,Female,95.92,Dessert,Mi Gacoan,412,6,"Amazing flavors, highly recommend!",Malang
12,User12,29,Male,29.93,Beverage,Starbucks,495,6,The food was delicious and fresh!,Malang
13,User13,61,Female,78.97,Healthy,KFC,140,3,"Poor quality, not worth the money.",Malang
14,User14,21,Male,6.33,Healthy,KFC,19,18,"Not worth the price, very disappointing.",Jakarta
15,User15,50,Male,97.54,Dessert,Mi Gacoan,248,11,The food was bland and tasteless.,Surabaya
16,User16,47,Female,91.46,Fast Food,Starbucks,0,2,"Amazing flavors, highly recommend!",Jogja
17,User17,39,Female,98.54,Fast Food,Starbucks,443,2,"Not worth the price, very disappointing.",Bandung
18,User18,35,Female,38.21,Fast Food,Burger King,201,15,"Unimpressed with the taste, won't return.",Malang
19,User19,23,Male,77.81,Beverage,Mi Gacoan,367,6,"Unimpressed with the taste, won't return.",Surabaya
20,User20,65,Male,11.07,Beverage,KFC,110,11,"Excellent taste, worth every penny!",Jakarta
21,User21,45,Female,56.53,Beverage,Mi Gacoan,204,6,"Not worth the price, very disappointing.",Malang
22,User22,19,Female,5.68,Fast Food,KFC,405,13,The food was bland and tasteless.,Bandung
23,User23,51,Female,51.26,Healthy,Starbucks,53,9,"Poor quality, not worth the money.",Surabaya
24,User24,58,Male,97.85,Healthy,McDonald's,27,7,"Excellent taste, worth every penny!",Surabaya
