id,nama,age,gender,harga_beli,kind_of_food,restaurant,delivery_time,friends,jumlah_klik_produk_tertentu,latitude,longitude,latitude_restaurant,longitude_restaurant,review
1,User1,39,Male,66.03,Beverage,JCo,67.44611363,313,1,-6.190322,106.701934,-6.200214681,106.8234153,"Excellent taste, worth every penny!"
2,User2,40,Male,44.25,Healthy,Burger King,87.49394734,483,2,-6.105443,106.718716,-6.194020442,106.8497223,"Excellent taste, worth every penny!"
3,User3,24,Female,8.88,Dessert,Burger King,11.90577548,172,17,-6.174421,106.840814,-6.194020442,106.8497223,The food was bland and tasteless.
4,User4,37,Male,86.2,Beverage,Starbucks,21.70053473,17,17,-6.161642,106.791776,-6.184808705,106.8234289,The food was bland and tasteless.
5,User5,61,Male,18.64,Beverage,McDonald's,77.61683093,431,5,-6.150966,106.708692,-6.191438909,106.8429918,Very tasty and well-prepared.
6,User6,24,Female,46.74,Healthy,JCo,34.20446878,226,19,-6.16515,106.874336,-6.200214681,106.8234153,"Poor quality, not worth the money."
7,User7,50,Male,28.33,Fast Food,Burger King,68.45701527,408,12,-6.186423,106.726247,-6.194020442,106.8497223,"Excellent taste, worth every penny!"
8,User8,55,Female,43.12,Dessert,KFC,32.46690249,423,17,-6.176877,106.876778,-6.192915894,106.820339,The food was delicious and fresh!
9,User9,40,Female,19.95,Fast Food,KFC,65.93362879,29,5,-6.172183,106.703007,-6.192915894,106.820339,"Terrible experience, food was awful."
10,User10,59,Male,64.85,Fast Food,Starbucks,55.86145845,115,9,-6.111237,106.892605,-6.184808705,106.8234289,"Unimpressed with the taste, won't return."
11,User11,39,Female,95.92,Dessert,Mi Gacoan,49.73696196,412,6,-6.192224,106.716925,-6.17657643,106.8054332,"Amazing flavors, highly recommend!"
12,User12,29,Male,29.93,Beverage,Starbucks,54.2072069,495,6,-6.110532,106.759501,-6.184808705,106.8234289,The food was delicious and fresh!
13,User13,61,Female,78.97,Healthy,KFC,45.21473909,140,3,-6.111982,106.832008,-6.192915894,106.820339,"Poor quality, not worth the money."
14,User14,21,Male,6.33,Healthy,KFC,73.42076525,19,18,-6.110539,106.716287,-6.192915894,106.820339,"Not worth the price, very disappointing."
15,User15,50,Male,97.54,Dessert,Mi Gacoan,30.02634914,248,11,-6.165113,106.858469,-6.17657643,106.8054332,The food was bland and tasteless.
16,User16,47,Female,91.46,Fast Food,Starbucks,42.56620743,0,2,-6.122971,106.869241,-6.184808705,106.8234289,"Amazing flavors, highly recommend!"
17,User17,39,Female,98.54,Fast Food,Starbucks,47.88043826,443,2,-6.111852,106.776825,-6.184808705,106.8234289,"Not worth the price, very disappointing."
18,User18,35,Female,38.21,Fast Food,Burger King,36.23166083,201,15,-6.190547,106.78434,-6.194020442,106.8497223,"Unimpressed with the taste, won't return."
19,User19,23,Male,77.81,Beverage,Mi Gacoan,28.67277265,367,6,-6.129369,106.826873,-6.17657643,106.8054332,"Unimpressed with the taste, won't return."
20,User20,65,Male,11.07,Beverage,KFC,30.45960116,110,11,-6.14836,106.787972,-6.192915894,106.820339,"Excellent taste, worth every penny!"
21,User21,45,Female,56.53,Beverage,Mi Gacoan,28.33555178,204,6,-6.12561,106.800095,-6.17657643,106.8054332,"Not worth the price, very disappointing."
22,User22,19,Female,5.68,Fast Food,KFC,32.41757897,405,13,-6.137815,106.800327,-6.192915894,106.820339,The food was bland and tasteless.
23,User23,51,Female,51.26,Healthy,Starbucks,67.45480704,53,9,-6.188815,106.701598,-6.184808705,106.8234289,"Poor quality, not worth the money."
24,User24,58,Male,97.85,Healthy,McDonald's,66.57981999,27,7,-6.110126,106.754259,-6.191438909,106.8429918,"Excellent taste, worth every penny!"
25,User25,61,Female,12.69,Dessert,Mi Gacoan,31.95742889,28,11,-6.165115,106.748832,-6.17657643,106.8054332,Very tasty and well-prepared.
26,User26,57,Female,25.51,Beverage,KFC,47.83093015,313,3,-6.106414,106.819781,-6.192915894,106.820339,"Excellent taste, worth every penny!"
27,User27,61,Male,69.29,Beverage,Starbucks,44.17479234,354,8,-6.198629,106.744804,-6.184808705,106.8234289,"Great food, definitely coming back."
28,User28,69,Female,44.12,Beverage,McDonald's,22.80346605,445,16,-6.195661,106.802,-6.191438909,106.8429918,"Amazing flavors, highly recommend!"
29,User29,55,Female,37.95,Beverage,Starbucks,52.2068577,306,6,-6.117614,106.757157,-6.184808705,106.8234289,The food was bland and tasteless.
30,User30,48,Male,43.29,Dessert,Mi Gacoan,42.56498808,406,19,-6.121328,106.858992,-6.17657643,106.8054332,"Terrible experience, food was awful."
31,User31,36,Female,10.71,Dessert,Starbucks,41.62788891,472,12,-6.136017,106.766143,-6.184808705,106.8234289,"Terrible experience, food was awful."
32,User32,33,Male,50.89,Dessert,JCo,51.67891591,102,4,-6.106834,106.827331,-6.200214681,106.8234153,"Excellent taste, worth every penny!"
33,User33,69,Male,29.21,Healthy,Starbucks,46.24557851,315,15,-6.109775,106.786515,-6.184808705,106.8234289,The food was bland and tasteless.
34,User34,63,Male,21.62,Dessert,KFC,57.5347921,326,18,-6.140495,106.73053,-6.192915894,106.820339,"Not worth the price, very disappointing."
35,User35,58,Male,51.45,Healthy,McDonald's,27.60064541,449,19,-6.171702,106.79718,-6.191438909,106.8429918,"Poor quality, not worth the money."
36,User36,47,Female,51.17,Healthy,Starbucks,48.53960656,494,7,-6.121009,106.883675,-6.184808705,106.8234289,The food was delicious and fresh!
37,User37,22,Female,59.4,Dessert,Starbucks,30.69228582,92,2,-6.146666,106.863722,-6.184808705,106.8234289,"Amazing flavors, highly recommend!"
38,User38,66,Female,61.02,Dessert,KFC,37.13331704,22,2,-6.125772,106.819028,-6.192915894,106.820339,"Great food, definitely coming back."
39,User39,60,Male,85.12,Dessert,KFC,38.55652873,380,18,-6.183618,106.751286,-6.192915894,106.820339,"Not worth the price, very disappointing."
40,User40,38,Male,96,Fast Food,KFC,47.47868587,401,10,-6.112892,106.851445,-6.192915894,106.820339,"Great food, definitely coming back."
41,User41,34,Female,17.59,Healthy,Burger King,68.73685184,295,4,-6.100204,106.768233,-6.194020442,106.8497223,The food was delicious and fresh!
42,User42,39,Female,41.46,Dessert,JCo,50.66580513,348,18,-6.130697,106.88306,-6.200214681,106.8234153,The food was bland and tasteless.
43,User43,20,Female,44.09,Fast Food,Mi Gacoan,35.06667786,88,18,-6.144711,106.860219,-6.17657643,106.8054332,Very tasty and well-prepared.
44,User44,38,Female,87.54,Dessert,JCo,58.14372047,243,17,-6.109881,106.877196,-6.200214681,106.8234153,"Terrible experience, food was awful."
45,User45,63,Male,60.65,Beverage,Starbucks,64.24929458,67,12,-6.194645,106.707741,-6.184808705,106.8234289,"Not worth the price, very disappointing."
46,User46,42,Male,27.52,Fast Food,JCo,27.65454225,454,2,-6.162569,106.856316,-6.200214681,106.8234153,"Poor quality, not worth the money."
47,User47,61,Female,73.89,Fast Food,JCo,55.07695989,38,17,-6.122507,106.885679,-6.200214681,106.8234153,"Amazing flavors, highly recommend!"
48,User48,38,Female,73.12,Beverage,Mi Gacoan,21.46386767,350,12,-6.142559,106.78675,-6.17657643,106.8054332,"Unimpressed with the taste, won't return."
49,User49,63,Female,57.46,Fast Food,JCo,17.62688241,358,4,-6.177487,106.801079,-6.200214681,106.8234153,"Great food, definitely coming back."
50,User50,33,Male,33.14,Beverage,Mi Gacoan,32.70651993,376,0,-6.176719,106.746331,-6.17657643,106.8054332,The food was delicious and fresh!
51,User51,51,Female,60.32,Fast Food,KFC,45.79306061,25,0,-6.125057,106.867775,-6.192915894,106.820339,The food was delicious and fresh!
52,User52,42,Female,8.5,Beverage,Mi Gacoan,48.89365432,164,16,-6.185973,106.893287,-6.17657643,106.8054332,"Unimpressed with the taste, won't return."
